i,theta,T,dT
0,1.04719755,2.84798370,0.00000100
1,1.02625360,2.83978915,0.00000100
2,1.00572853,2.83196271,0.00000100
3,0.98561396,2.82448168,0.00000100
4,0.96590168,2.81733321,0.00000100
5,0.94658364,2.81050270,0.00000100
6,0.92765197,2.80396719,0.00000100
7,0.90909893,2.79772012,0.00000100
8,0.89091695,2.79174386,0.00000100
9,0.87309861,2.78602630,0.00000100
10,0.85563664,2.78055828,0.00000100
11,0.83852391,2.77532316,0.00000100
12,0.82175343,2.77031547,0.00000100
13,0.80531836,2.76551686,0.00000100
14,0.78921200,2.76092926,0.00000100
15,0.77342776,2.75653455,0.00000100
16,0.75795920,2.75232269,0.00000100
17,0.74280002,2.74829382,0.00000100
18,0.72794402,2.74443084,0.00000100
19,0.71338514,2.74073446,0.00000100
20,0.69911743,2.73718867,0.00000100
21,0.68513508,2.73379445,0.00000100
22,0.67143238,2.73054121,0.00000100
23,0.65800374,2.72742333,0.00000100
24,0.64484366,2.72443607,0.00000100
25,0.63194679,2.72157097,0.00000100
26,0.61930785,2.71882407,0.00000100
27,0.60692169,2.71619328,0.00000100
28,0.59478326,2.71366958,0.00000100
29,0.58288760,2.71125119,0.00000100
30,0.57122984,2.70893293,0.00000100
31,0.55980525,2.70670618,0.00000100
32,0.54860914,2.70457310,0.00000100
33,0.53763696,2.70252957,0.00000100
34,0.52688422,2.70056670,0.00000100
35,0.51634654,2.69868518,0.00000100
36,0.50601960,2.69687952,0.00000100
37,0.49589921,2.69515002,0.00000100
38,0.48598123,2.69348764,0.00000100
39,0.47626160,2.69189473,0.00000100
40,0.46673637,2.69036561,0.00000100
41,0.45740164,2.68889964,0.00000100
42,0.44825361,2.68749239,0.00000100
43,0.43928854,2.68614148,0.00000100
44,0.43050277,2.68484784,0.00000100
45,0.42189271,2.68360406,0.00000100
46,0.41345486,2.68240903,0.00000100
47,0.40518576,2.68126533,0.00000100
48,0.39708205,2.68016781,0.00000100
49,0.38914041,2.67911233,0.00000100
50,0.38135760,2.67810322,0.00000100
51,0.37373045,2.67713029,0.00000100
52,0.36625584,2.67619997,0.00000100
53,0.35893072,2.67530273,0.00000100
54,0.35175211,2.67444314,0.00000100
55,0.34471706,2.67362255,0.00000100
56,0.33782272,2.67283194,0.00000100
57,0.33106627,2.67207105,0.00000100
58,0.32444494,2.67134074,0.00000100
59,0.31795604,2.67064349,0.00000100
60,0.31159692,2.66997282,0.00000100
61,0.30536498,2.66932534,0.00000100
62,0.29925768,2.66870850,0.00000100
63,0.29327253,2.66811214,0.00000100
64,0.28740708,2.66754224,0.00000100
65,0.28165894,2.66699498,0.00000100
66,0.27602576,2.66646948,0.00000100
67,0.27050524,2.66596297,0.00000100
68,0.26509514,2.66548121,0.00000100
69,0.25979324,2.66501531,0.00000100
70,0.25459737,2.66456667,0.00000100
71,0.24950542,2.66413889,0.00000100
72,0.24451532,2.66372708,0.00000100
73,0.23962501,2.66333235,0.00000100
74,0.23483251,2.66295366,0.00000100
75,0.23013586,2.66258702,0.00000100
76,0.22553314,2.66223919,0.00000100
77,0.22102248,2.66190297,0.00000100
78,0.21660203,2.66157787,0.00000100
79,0.21226999,2.66126940,0.00000100
80,0.20802459,2.66097109,0.00000100
81,0.20386410,2.66068571,0.00000100
82,0.19978682,2.66041191,0.00000100
83,0.19579108,2.66014948,0.00000100
84,0.19187526,2.65989579,0.00000100
85,0.18803775,2.65965408,0.00000100
86,0.18427700,2.65941808,0.00000100
87,0.18059146,2.65919666,0.00000100
88,0.17697963,2.65898131,0.00000100
89,0.17344004,2.65877551,0.00000100
90,0.16997124,2.65857677,0.00000100
91,0.16657181,2.65838519,0.00000100
92,0.16324037,2.65820312,0.00000100
93,0.15997557,2.65802870,0.00000100
94,0.15677606,2.65786033,0.00000100
95,0.15364053,2.65769686,0.00000100
96,0.15056772,2.65754284,0.00000100
97,0.14755637,2.65739196,0.00000100
98,0.14460524,2.65724954,0.00000100
99,0.14171314,2.65711152,0.00000100
